"id","alt_label","definition","identifier","notation","pref_label","uri"
"3824","AB-FUBINACA","A measurement of the synthetic cannabinoid AB-FUBINACA in a biological specimen.","C184526","ABFBCA","AB-FUBINACA Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184526"
"3825","Abnormal Cells","A measurement of the abnormal cells in a biological specimen.","C111124","ABNCE","Abnormal Cell Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111124"
"3826","Abnormal Cells/Total Cells","A relative measurement (ratio or percentage) of abnormal cells to total cells in a biological specimen.","C150835","ABNCECE","Abnormal Cells to Total Cells Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150835"
"3827","Abnormal Cells/Leukocytes","A relative measurement (ratio or percentage) of abnormal cells to leukocytes in a biological specimen.","C150834","ABNCELE","Abnormal Cells to Leukocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150834"
"3828","ABO Blood Group","The characterization of the blood type of an individual by testing for the presence of A antigen and B antigen on the surface of red blood cells.","C125939","ABO","ABO Blood Group Determination","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C125939"
"3829","ABO A1 Subtype","The characterization of the ABO blood group A1 subtype in an individual. (NCI)","C135397","ABOA1","ABO A1 Subtype Determination","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135397"
"3830","AB-PINACA","A measurement of the synthetic cannabinoid AB-PINACA in a biological specimen.","C184527","ABPNCA","AB-PINACA Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184527"
"3831","Acanthocytes","A measurement of the acanthocytes in a biological specimen.","C74699","ACANT","Acanthocyte Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74699"
"3832","Acanthocytes/Erythrocytes","A relative measurement (ratio or percentage) of acanthocytes to all erythrocytes in a biological specimen.","C74633","ACANTRBC","Acanthocyte to Erythrocyte Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74633"
"3833","Angiotensin Converting Enzyme","A measurement of the angiotensin converting enzyme in a biological specimen.","C80169","ACE","Angiotensin Converting Enzyme Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C80169"
"3834","Acetaminophen;Paracetamol","A measurement of the acetaminophen in a biological specimen.","C135398","ACETAMIN","Acetaminophen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135398"
"3835","Acetoacetate;Acetoacetic Acid","A measurement of the acetoacetic acid in a biological specimen.","C92247","ACETOAC","Acetoacetic Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C92247"
"3836","Acetone","A measurement of the acetone in a biological specimen.","C147288","ACETONE","Acetone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147288"
"3837","Acetylcholine","A measurement of the acetylcholine hormone in a biological specimen.","C74838","ACH","Acetylcholine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74838"
"3838","Acetylcholinesterase","A measurement of the acetylcholinesterase in a biological specimen.","C96560","ACHE","Acetylcholinesterase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96560"
"3839","Acetylcholine Receptor Antibody","A measurement of the acetylcholine receptor antibody in a biological specimen.","C96559","ACHRAB","Acetylcholine Receptor Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96559"
"3840","Acid Phosphatase","A measurement of the acid phosphatase in a biological specimen.","C80163","ACPHOS","Acid Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C80163"
"3841","Acylcarnitine/Carnitine, Free","A relative measurement (ratio or percentage) of the acylcarnitine to free carnitine in a biological specimen.","C147289","ACRNCRNF","Acylcarnitine to Free Carnitine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147289"
"3842","Activated Clotting Time;Activated Coagulation Time","A measurement of the inhibition of blood coagulation in response to anticoagulant therapies.","C103348","ACT","Activated Coagulation Time","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C103348"
"3843","Actin Beta;B-Actin;Beta-Actin","A measurement of the beta-actin in a biological specimen.","C184510","ACTB","Beta-Actin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184510"
"3844","Adrenocorticotropic Hormone;Corticotropin","A measurement of the adrenocorticotropic hormone in a biological specimen.","C74780","ACTH","Adrenocorticotropic Hormone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74780"
"3845","Acylcarnitine","A measurement of the acylcarnitine in a biological specimen.","C156535","ACYCRNTN","Acylcarnitine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C156535"
"3846","Acylglycine","A measurement of the acylglycine in a biological specimen.","C156534","ACYGLYCN","Acylglycine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C156534"
"3847","Acyl CoA Oxidase;Acyl Coenzyme A Oxidase;Fatty Acyl Coenzyme A Oxidase","A measurement of the acyl coenzyme A oxidase in a biological specimen.","C92286","ACYLCAOX","Acyl Coenzyme A Oxidase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C92286"
"3848","A Disintegrin And Metalloproteinase Domain 8;ADAM Metallopeptidase Domain 8;CD156a Antigen","A measurement of the ADAM metallopeptidase domain 8 protein in a biological specimen.","C147290","ADAM8","ADAM Metallopeptidase Domain 8 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147290"
"3849","ADB-PINACA","A measurement of the synthetic cannabinoid ADB-PINACA in a biological specimen.","C184529","ADBPNCA","ADB-PINACA Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184529"
"3850","Antidiuretic Hormone;Vasopressin","A measurement of the antidiuretic hormone in a biological specimen.","C74847","ADH","Antidiuretic Hormone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74847"
"3851","Asymmetric Dimethylarginine;N,N-dimethylarginine","A measurement of asymmetric dimethylarginine in a biological specimen.","C158233","ADMA","Asymmetric Dimethylarginine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C158233"
"3852","Adenosine Diphosphate","A measurement of the adenosine diphosphate in a biological specimen.","C102257","ADP","Adenosine Diphosphate Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C102257"
"3853","Adiponectin","A measurement of the total adiponectin hormone in a biological specimen.","C74839","ADPNCTN","Adiponectin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74839"
"3854","Adiponectin, High Molecular Weight","A measurement of the high molecular weight adiponectin hormone in a biological specimen.","C132363","ADPNHMW","High Molecular Weight Adiponectin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C132363"
"3855","Anti-Double Stranded DNA","A measurement of the anti-double stranded DNA antibody in a biological specimen.","C74913","ADSDNA","Anti-Double Stranded DNA Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74913"
"3856","Anti-Factor Xa Activity","A measurement of the ability of antithrombin to inactivate activated Factor X in a biological specimen. This test is used to monitor low molecular weight or unfractionated heparin levels in a biological specimen.","C98706","AFACTXAA","Anti-Factor Xa Activity Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C98706"
"3857","Alpha Fetoprotein;Alpha-1-Fetoprotein","A measurement of the alpha fetoprotein in a biological specimen.","C74732","AFP","Alpha-fetoprotein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74732"
"3858","Alpha Fetoprotein Adj for Body Weight","A measurement of alpha fetoprotein, which has been adjusted for body weight, in a biological specimen.","C147291","AFPADJBW","Alpha Fetoprotein Adjusted for Body Weight Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147291"
"3859","Alpha Fetoprotein L1","A measurement of the alpha fetoprotein L1 in a biological specimen.","C96562","AFPL1","Alpha Fetoprotein L1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96562"
"3860","Alpha Fetoprotein L2","A measurement of the alpha fetoprotein L2 in a biological specimen.","C96563","AFPL2","Alpha Fetoprotein L2 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96563"
"3861","Alpha Fetoprotein L3","A measurement of the alpha fetoprotein L3 in a biological specimen.","C96564","AFPL3","Alpha Fetoprotein L3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96564"
"3862","A Fetoprotein L3/A Fetoprotein","A relative measurement (ratio or percentage) of alpha fetoprotein L3 to total alpha fetoprotein in a biological specimen.","C96565","AFPL3AFP","Alpha Fetoprotein L3 to Total Alpha Fetoprotein Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96565"
"3863","1,5-Anhydroglucitol","A measurement of the 1,5-anhydroglucitol in a biological specimen.","C124334","AG1_5","1,5-Anhydroglucitol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C124334"
"3864","Alpha Hydroxybutyrate Dehydrogenase","A measurement of the alpha-hydroxybutyrate dehydrogenase in a biological specimen.","C111126","AHBDH","Alpha Hydroxybutyrate Dehydrogenase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111126"
"3865","Alpha-Hydroxytriazolam","A measurement of the alpha-hydroxytriazolam a biological specimen.","C181418","AHTRZLM","Alpha-Hydroxytriazolam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181418"
"3866","Alanine","A measurement of the alanine in a biological specimen.","C122091","ALA","Alanine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122091"
"3867","Apolipoprotein A1/Apolipoprotein B","A relative measurement (ratio or percentage) of the Apolipoprotein A1 to Apolipoprotein B in a biological specimen.","C147292","ALA1ALB","Apolipoprotein A1 to Apolipoprotein B Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147292"
"3868","Apolipoprotein A/Apolipoprotein B","A relative measurement (ratio) of the total apolipoprotein A to apolipoprotein B in a biological specimen.","C158222","ALAALB","Apolipoprotein A to Apolipoprotein B Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C158222"
"3869","Albumin;Microalbumin","A measurement of the albumin protein in a biological specimen.","C64431","ALB","Albumin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64431"
"3870","Albumin Clearance","A measurement of the albumin clearance in a biological specimen.","C147293","ALBC","Albumin Clearance","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147293"
"3871","Albumin/Creatinine;Microalbumin/Creatinine Ratio","A relative measurement (ratio) of the albumin to the creatinine in a biological specimen.","C74761","ALBCREAT","Albumin To Creatinine Protein Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74761"
"3872","Albumin Excretion Rate","A measurement of the amount of albumin excreted in a biological specimen over a defined period of time (e.g. one hour).","C150814","ALBEXR","Albumin Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C150814"
"3873","Glycated Albumin/Albumin;Glycosylated Albumin/Albumin","A relative measurement (ratio or percentage) of the glycated albumin to total albumin in a biological specimen.","C158228","ALBGALB","Glycated Albumin to Albumin Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C158228"
"3874","Albumin/Globulin","The ratio of albumin to globulin in a biological specimen.","C74894","ALBGLOB","Albumin to Globulin Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74894"
"3875","Glycated Albumin","A measurement of the glycated albumin present in a biological specimen.","C122092","ALBGLYCA","Glycated Albumin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122092"
"3876","Albumin Index","A relative measurement (ratio) of the albumin in cerebrospinal fluid to albumin in serum or plasma in a biological specimen.","C154734","ALBIDX","Albumin Index","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154734"
"3877","Albumin/Total Protein","A relative measurement (ratio or percentage) of the albumin to total protein in a biological specimen.","C103453","ALBPROT","Albumin to Total Protein Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C103453"
"3878","Aldrin Epoxidase","A measurement of the aldrin epoxidase in a biological specimen.","C154743","ALDEPX","Aldrin Epoxidase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154743"
"3879","Aldolase","A measurement of the aldolase enzyme in a biological specimen.","C74731","ALDOLASE","Aldolase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74731"
"3880","Aldosterone","A measurement of the aldosterone hormone in a biological specimen.","C74841","ALDSTRN","Aldosterone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74841"
"3881","Alfentanil","A measurement of the alfentanil in a biological specimen.","C184566","ALFNTNL","Alfentanil Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184566"
"3882","Alloisoleucine","A measurement of the alloisoleucine in a biological specimen.","C154762","ALLOILE","Alloisoleucine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154762"
"3883","5-Lipoxygenase;5-LO;5-LOX;ALOX5;Arachidonate 5-Lipoxygenase","A measurement of the arachidonate 5-lipoxygenase in a biological specimen.","C184519","ALOX5","Arachidonate 5-Lipoxygenase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184519"
"3884","Alkaline Phosphatase","A measurement of the alkaline phosphatase in a biological specimen.","C64432","ALP","Alkaline Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64432"
"3885","Alk Phos, Bone/Total Alk Phos;Alkaline Phosphatase, Bone/Total Alkaline Phosphatase","A relative measurement (ratio or percentage) of the bone specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.","C147294","ALPBALP","Bone Alkaline Phosphatase to Total Alkaline Phosphatase Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147294"
"3886","Bone Specific Alkaline Phosphatase","A measurement of the bone specific alkaline phosphatase isoform in a biological specimen.","C92287","ALPBS","Bone Specific Alkaline Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C92287"
"3887","Alkaline Phosphatase/Creatinine","A relative measurement (ratio or percentage) of the alkaline phosphatase to creatinine in a biological specimen.","C79438","ALPCREAT","Alkaline Phosphatase to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C79438"
"3888","Alkaline Phosphatase Excretion Rate","A measurement of the amount of alkaline phosphatase being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C165942","ALPEXR","Alkaline Phosphatase Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165942"
"3889","Alk Phos, Intestinal/Total Alk Phos;Alkaline Phosphatase, Intestinal/Total Alkaline Phosphatase","A relative measurement (ratio or percentage) of the intestinal specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.","C147295","ALPIALP","Intestinal Alkaline Phosphatase to Total Alkaline Phosphatase Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147295"
"3890","Intestinal Specific Alkaline Phosphatase","A measurement of the intestinal specific alkaline phosphatase isoform in a biological specimen.","C119266","ALPIS","Intestinal Specific Alkaline Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C119266"
"3891","Alkaline Phosphatase Isoenzyme","A measurement of the alkaline phosphatase isoenzyme in a biological specimen.","C139091","ALPISOE","Alkaline Phosphatase Isoenzyme Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C139091"
"3892","Alk Phos, Liver/Total Alk Phos;Alkaline Phosphatase, Liver/Total Alkaline Phosphatase","A relative measurement (ratio or percentage) of the liver specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.","C147296","ALPLALP","Liver Alkaline Phosphatase to Total Alkaline Phosphatase Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147296"
"3893","Liver Specific Alkaline Phosphatase","A measurement of the liver specific alkaline phosphatase isoform in a biological specimen.","C119267","ALPLS","Liver Specific Alkaline Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C119267"
"3894","Alk Phos, Placental/Total Alk Phos;Alkaline Phosphatase, Placental/Total Alkaline Phosphatase","A relative measurement (ratio or percentage) of the placental specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.","C184508","ALPPALP","Placental Alkaline Phosphatase to Total Alkaline Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184508"
"3895","Placental Specific Alkaline Phosphatase","A measurement of the placental specific alkaline phosphatase isoform in a biological specimen.","C184509","ALPPS","Placental Specific Alkaline Phosphatase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184509"
"3896","Alprazolam","A measurement of the alprazolam present in a biological specimen.","C75370","ALPRZLM","Alprazolam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C75370"
"3897","Acid Labile Subunit;ALS;IGFALS;Insulin Like Growth Factor Binding Protein Acid Labile Subunit","A measurement of the acid labile subunit in a biological specimen.","C163419","ALS","Acid Labile Subunit Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163419"
"3898","Alanine Aminotransferase;SGPT","A measurement of the alanine aminotransferase in a biological specimen.","C64433","ALT","Alanine Aminotransferase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64433"
"3899","ALT/AST","A relative measurement (ratio or percentage) of the alanine aminotransferase (ALT) to aspartate aminotransferase (AST) present in a sample.","C106498","ALTAST","Alanine Aminotransferase to Aspartate Aminotransferase Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C106498"
"3900","Alpha Tocopherol","A measurement of the alpha tocopherol in a biological specimen.","C103349","ALTCPHRL","Alpha Tocopherol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C103349"
"3901","Al;Aluminum","A measurement of aluminum in a biological specimen.","C111127","ALUMINUM","Aluminum Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111127"
"3902","AM-2201;AM2201","A measurement of the synthetic cannabinoid AM-2201 in a biological specimen.","C184539","AM2201","AM-2201 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184539"
"3903","AM694 N-5-hydroxypentyl","A measurement of the synthetic cannabinoid metabolite AM694 N-5-hydroxypentyl in a biological specimen.","C184538","AM694N5H","AM694 N-5-hydroxypentyl Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184538"
"3904","Antimitochondrial Antibodies;Mitochondrial Antibody","A measurement of the antimitochondrial antibodies in a biological specimen.","C81975","AMA","Antimitochondrial Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81975"
"3905","ACH Receptor Modulation Antibody/ACH Receptor Antibody;ACH Receptor Modulatn Ab/ACH Receptor Ab","A relative measurement (ratio or percentage) of the acetylcholine receptor modulation antibody to the total acetylcholine receptor antibodies in a biological specimen.","C147297","AMABARAB","Acetylcholine Receptor Modulation Antibody to Acetylcholine Receptor Antibody Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147297"
"3906","Alpha-Methylacyl Coenzyme A Racemase","A measurement of the alpha-methylacyl coenzyme A racemase in a biological specimen.","C132364","AMACR","Alpha-Methylacyl Coenzyme A Racemase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C132364"
"3907","Amobarbital","A measurement of the amobarbital present in a biological specimen.","C75363","AMBRBTL","Amobarbital Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C75363"
"3908","AMACR mRNA","A measurement of the alpha-methylacyl coenzyme A racemase mRNA in a biological specimen.","C132365","AMCRMRNA","Alpha-Methylacyl Coenzyme A Racemase mRNA Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C132365"
"3909","Anti-Mullerian Hormone","A measurement of the anti-Mullerian hormone in a biological specimen.","C120625","AMH","Anti-Mullerian Hormone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C120625"
"3910","Ammonia;NH3","A measurement of the ammonia in a biological specimen.","C74799","AMMONIA","Ammonia Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74799"
"3911","AA;Amino Acids","A measurement of the total amino acids in a biological specimen.","C81183","AMNOACID","Amino Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81183"
"3912","Amorphous Debris;Amorphous Sediment","A measurement of the amorphous sediment present in a biological specimen.","C74666","AMORPHSD","Amorphous Sediment Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74666"
"3913","Alpha-Methylphenethylamine;Amphetamine","A measurement of the alpha-methylphenethylamine in a biological specimen.","C75347","AMPEA","Amphetamine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C75347"
"3914","Amphetamine","A measurement of any amphetamine class drug present in a biological specimen.","C74687","AMPHET","Amphetamine Drug Class Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74687"
"3915","d-amphetamine;Dextroamphetamine","A measurement of the dextroamphetamine in a biological specimen.","C102262","AMPHETD","Dextroamphetamine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C102262"
"3916","Amylase","A measurement of the total enzyme amylase in a biological specimen.","C64434","AMYLASE","Amylase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64434"
"3917","Macroamylase","A measurement of macroamylase in a biological specimen.","C111243","AMYLASEM","Macroamylase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111243"
"3918","Amylase, Pancreatic;Pancreatic Amylase Isoenzyme","A measurement of the pancreatic enzyme amylase in a biological specimen.","C98767","AMYLASEP","Pancreatic Amylase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C98767"
"3919","Amylase, Salivary;Salivary Amylase Isoenzyme","A measurement of the salivary enzyme amylase in a biological specimen.","C98780","AMYLASES","Salivary Amylase Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C98780"
"3920","Amyloid Beta 1-38;Amyloid Beta 38;Amyloid Beta 38 Protein","A measurement of amyloid beta protein which is composed of peptides 1 to 38 in a biological specimen.","C103352","AMYLB38","Amyloid Beta 1-38 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C103352"
"3921","Amyloid Beta 1-40;Amyloid Beta 40;Amyloid Beta 40 Protein","A measurement of amyloid beta protein which is composed of peptides 1 to 40 in a biological specimen.","C103353","AMYLB40","Amyloid Beta 1-40 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C103353"
"3922","Amyloid Beta 1-41;Amyloid Beta 41;Amyloid Beta 41 Protein","A measurement of amyloid beta protein which is composed of peptides 1 to 41 in a biological specimen.","C184518","AMYLB41","Amyloid Beta 1-41 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184518"
"3923","Amyloid Beta 1-42;Amyloid Beta 42;Amyloid Beta 42 Protein","A measurement of amyloid beta protein which is composed of peptides 1 to 42 in a biological specimen.","C84809","AMYLB42","Beta Amyloid 42 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C84809"
"3924","Amyloid A","A measurement of the total amyloid A in a biological specimen.","C125940","AMYLOIDA","Amyloid A Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C125940"
"3925","Amyloid, Beta;Beta Amyloid","A measurement of the total amyloid beta in a biological specimen.","C81999","AMYLOIDB","Beta Amyloid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81999"
"3926","Amyloid P;Amyloid P Component;SAP;Serum Amyloid P Component","A measurement of the total amyloid P in a biological specimen.","C81998","AMYLOIDP","Amyloid P Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81998"
"3927","Antinuclear Antibodies","A measurement of the total antinuclear antibodies (antibodies that attack the body's own tissue) in a biological specimen.","C74916","ANA","Antinuclear Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74916"
